experiment,paper_token_nll,macro_choice_nll,choices,choice_tokens,participants
somerville2017charting/exp1.csv,0.49500098390363045,0.4950009839036304,7840,7840,14
speekenbrink2008learning/exp1.csv,0.5833157275011763,0.5833157275011762,400,400,2
steingroever2015data/exp1.csv,1.0660490870768533,1.066049087076853,5400,5400,54
steingroever2015data/exp2.csv,1.2713198930417235,1.2713198930417238,190,190,2
steingroever2015data/exp3.csv,0.8411599958191315,0.8411599958191316,1500,1500,10
tomov2020discovery/exp2.csv,1.4853585534890177,1.4743594668715203,7363,7363,22
tomov2020discovery/exp4.csv,1.4353136639059207,1.4365034036599427,2801,2801,10
tomov2020discovery/exp5.csv,1.5578714982299062,1.5911861619803165,8598,8598,40
tomov2020discovery/exp7.csv,1.6092644678302244,1.615097681094444,5815,5815,17
tomov2021multitask/exp1.csv,0.7449553116794226,0.7449553116794226,4646,4646,23
tomov2021multitask/exp3.csv,0.5725472250838667,0.5725472250838666,3232,3232,16
waltz2020differential/exp1.csv,0.3110375646357715,0.3110375646357715,850,850,2
wilson2014humans/exp1.csv,0.471102743463153,0.471102743463153,4480,4480,4
wilson2014humans/exp3.csv,0.49133979705663744,0.4803434330249265,3715,3715,7
wilson2014humans/exp4.csv,0.5634869304465397,0.5634869304465397,6160,6160,11
wilson2014humans/exp5.csv,0.6423670408516912,0.6423670408516912,3360,3360,6
wise2019acomputational/exp1.csv,1.7474740724868518,5.242422217460556,1920,5760,6
wu2018generalisation/exp1.csv,2.611940118049582,2.611940118049582,360,360,3
wu2023chunking/exp1.csv,0.13850244668158515,0.13850244668158515,10000,10000,10
wu2023chunking/exp2.csv,0.2578534487444765,0.2578534487444765,10000,10000,10
wulff2018description/exp1.csv,0.774546715580218,0.9466756702826384,3200,3200,227
wulff2018sampling/exp1.csv,0.437213101863792,0.666513090181027,108585,108585,411
xiong2023neural/exp1.csv,0.33820971575971065,0.3382097157597106,14400,14400,3
zhu2020bayesian/exp1.csv,2.1384640341314176,2.1384640341314176,480,480,4
zhu2020bayesian/exp2.csv,2.876326071685462,2.876326071685462,1980,1980,11
zorowitz2023data/exp1.csv,0.5829951666008001,0.5829951666008001,4020,4020,10
