experiment,paper_token_nll,macro_choice_nll,choices,choice_tokens,participants
levering2020revisiting/exp1.csv,0.53510537085179,0.53510537085179,2988,2988,18
levering2020revisiting/exp2.csv,0.47852961370298575,0.47852961370298575,3984,3984,24
ludwig2023human/exp0.csv,0.5531637780313354,0.5531637780313354,1080,1080,3
ludwig2023human/exp1.csv,0.4788088598000791,0.47880885980007915,720,720,2
ludwig2023human/exp2.csv,0.49822826057303854,0.49822826057303854,720,720,2
peterson2021using/exp1.csv,0.43221287696821237,0.43642972664335833,116920,116920,1466
plonsky2018when/exp1.csv,0.34569344437000143,0.3456934443700015,18000,18000,24
popov2023intent/exp1.csv,0.7273858522091181,1.0688900870033369,417,607,3
popov2023intent/exp2.csv,0.5632117602339624,0.8677677161000203,557,860,4
popov2023intent/exp3.csv,0.6056633635664224,1.0036955888877717,918,1515,6
ruggeri2022globalizability/exp1.csv,0.438540670391121,0.4420982779146861,15421,15421,1295
sadeghiyeh2020temporal/exp1.csv,0.6028857441148724,0.592178873109789,4303,4303,13
schulz2020finding/exp1.csv,0.5166997600172343,0.5166997600172343,2700,2700,9
schulz2020finding/exp2.csv,0.49976704803570465,0.4997670480357046,3000,3000,10
schulz2020finding/exp3.csv,0.6988808335360392,0.6988808335360394,5700,5700,19
schulz2020finding/exp4.csv,0.7131352376863478,0.7131352376863479,4200,4200,14
schulz2020finding/exp5.csv,0.7219048620565552,0.7219048620565552,5400,5400,18
somerville2017charting/exp1.csv,0.34608502286975296,0.346085022869753,7840,7840,14
speekenbrink2008learning/exp1.csv,0.552764226719737,0.552764226719737,400,400,2
steingroever2015data/exp1.csv,0.9287582148364918,0.9287582148364918,5400,5400,54
steingroever2015data/exp2.csv,1.2424190216158566,1.2424190216158566,190,190,2
steingroever2015data/exp3.csv,0.7409400910837576,0.7409400910837576,1500,1500,10
tomov2020discovery/exp2.csv,1.1350497245380906,1.1251680946947191,7363,7363,22
tomov2020discovery/exp4.csv,0.9147460741386275,0.9147968072205377,2801,2801,10
tomov2020discovery/exp5.csv,1.1094427580966209,1.138142328626287,8598,8598,40
tomov2020discovery/exp7.csv,1.3473746935515853,1.3504521855088067,5815,5815,17
tomov2021multitask/exp1.csv,0.6593019769109341,0.6593019769109341,4646,4646,23
tomov2021multitask/exp3.csv,0.4662313631023527,0.46623136310235264,3232,3232,16
waltz2020differential/exp1.csv,0.15007581157753624,0.15007581157753624,850,850,2
wilson2014humans/exp1.csv,0.30561342761615634,0.30561342761615634,4480,4480,4
wilson2014humans/exp3.csv,0.4116777354913725,0.3912944385221665,3715,3715,7
wilson2014humans/exp4.csv,0.48476826635079934,0.4847682663507993,6160,6160,11
wilson2014humans/exp5.csv,0.5986566141475036,0.5986566141475037,3360,3360,6
wise2019acomputational/exp1.csv,1.615815504909226,4.847446514727678,1920,5760,6
wu2018generalisation/exp1.csv,1.9146805710676644,1.9146805710676642,360,360,3
wu2023chunking/exp1.csv,0.12119078391387006,0.12119078391387006,10000,10000,10
wu2023chunking/exp2.csv,0.2316804059643065,0.2316804059643065,10000,10000,10
wulff2018description/exp1.csv,0.5449666254720068,0.6075155980033781,3200,3200,227
wulff2018sampling/exp1.csv,0.37555915964182907,0.47311934595073724,108585,108585,411
xiong2023neural/exp1.csv,0.29837145102189316,0.29837145102189316,14400,14400,3
zhu2020bayesian/exp1.csv,1.8854031367072215,1.8854031367072215,480,480,4
zhu2020bayesian/exp2.csv,2.5901195325249,2.5901195325249,1980,1980,11
zorowitz2023data/exp1.csv,0.5117699406485638,0.5117699406485638,4020,4020,10
